Position,Content,Sample ID,,Comments,,Sample Map file has to be saved as .csv to allow import
A01,B,BLK01,,,,
A02,B,BLK02,,Position:,,
A03,B,BLK03,,This is a draft for horizontal orientation,,
A04,B,BLK04,,For vertical orientation use vertical csv draft,,
A05,B,BLK05,,,,
A06,B,BLK06,,Sample Map pattern can be changed. ,,
A07,B,BLK07,,* up to 12 positions possible in one row,,
A08,B,BLK08,,"* need to be consecutive, no gaps",,
A09,B,BLK09,,* not possible to define more Contents/Sample IDs as in the previous row,,
A10,B,BLK10,, ,,
A11,B,BLK11,,Content:,,
A12,B,BLK12,,"Content field needs to be defined with B, C or S",,
B01,C,CTRL01,,B = Blank measurement,,
B02,C,CTRL02,,C = Control measurement,,
B03,C,CTRL03,,S = Sample measurement,,
B04,C,CTRL04,,"Blank, Control and Sample content cannot be combined in one row.",,
B05,C,CTRL05,,,,
B06,C,CTRL06,,Sample ID:,,
B07,C,CTRL07,,Allowed characters for Sample IDs: ,,
B08,C,CTRL08,,"A...Z a...z 0...9 , . - ( ) @ ! = _ ~ ; [ ] { }",,
B09,C,CTRL09,,"If Position and Content is defined and no Sample ID, Sample IDs are named automatically:",,
B10,C,CTRL10,,"B = BLK01, BLK02, etc.",,
B11,C,CTRL11,,"C = CTRL01, CTRL02, etc.",,
B12,C,CTRL12,,"S = SPL01, SPL02, etc.",,
C01,S,SPL01,,,,
C02,S,Sample XYZ,,"Duplicate names can be loaded and will automatically be numbered as duplicate (example: Sample XYZ, Sample XYZ(1))",,
C03,S,Sample XYZ,,,,
C04,S,SPL04,,,,
C05,S,SPL05,,,,
C06,S,SPL06,,,,
C07,S,SPL07,,,,
C08,S,SPL08,,,,
C09,S,SPL09,,,,
C10,S,SPL10,,,,
C11,S,SPL11,,,,
C12,S,SPL12,,,,
D01,,,,,,
D02,,,,,,
D03,,,,,,
D04,,,,,,
D05,,,,,,
D06,,,,,,
D07,,,,,,
D08,,,,,,
D09,,,,,,
D10,,,,,,
D11,,,,,,
D12,,,,,,
E01,,,,,,
E02,,,,,,
E03,,,,,,
E04,,,,,,
E05,,,,,,
E06,,,,,,
E07,,,,,,
E08,,,,,,
E09,,,,,,
E10,,,,,,
E11,,,,,,
E12,,,,,,
F01,,,,,,
F02,,,,,,
F03,,,,,,
F04,,,,,,
F05,,,,,,
F06,,,,,,
F07,,,,,,
F08,,,,,,
F09,,,,,,
F10,,,,,,
F11,,,,,,
F12,,,,,,
G01,,,,,,
G02,,,,,,
G03,,,,,,
G04,,,,,,
G05,,,,,,
G06,,,,,,
G07,,,,,,
G08,,,,,,
G09,,,,,,
G10,,,,,,
G11,,,,,,
G12,,,,,,
H01,,,,,,
H02,,,,,,
H03,,,,,,
H04,,,,,,
H05,,,,,,
H06,,,,,,
H07,,,,,,
H08,,,,,,
H09,,,,,,
H10,,,,,,
H11,,,,,,
H12,,,,,,
