Position,Content,Sample ID,,Comments,,Sample Map file has to be saved as .csv to allow import
A01,B,BLK01,,,,
B01,B,BLK02,,Position:,,
C01,B,BLK03,,This is a draft for vertical orientation,,
D01,B,BLK04,,For horizontal orientation use horizontal csv draft,,
E01,B,BLK05,,,,
F01,B,BLK06,,Sample Map pattern can be changed. ,,
G01,B,BLK07,,* up to 8 positions possible in one column,,
H01,B,BLK08,,"* need to be consecutive, no gaps",,
A02,C,CTRL01,,* not possible to define more Contents/Sample IDs as in the previous column,,
B02,C,CTRL02,,,,
C02,C,CTRL03,,Content:,,
D02,C,CTRL04,,"Content field needs to be defined with B, C or S",,
E02,C,CTRL05,,B = Blank measurement,,
F02,C,CTRL06,,C = Control measurement,,
G02,C,CTRL07,,S = Sample measurement,,
H02,C,CTRL08,,"Blank, Control and Sample content cannot be combined in one column",,
A03,S,SPL01,,,,
B03,S,SPL02,,Sample ID:,,
C03,S,SPL03,,Allowed characters for Sample IDs: ,,
D03,S,SPL04,,"A...Z a...z 0...9 , . - ( ) @ ! = _ ~ ; [ ] { } ",,
E03,S,SPL05,,"If Position and Content is defined and no Sample ID, Sample IDs are named automatically:",,
F03,S,SPL06,,"B = BLK01, BLK02, etc.",,
G03,S,SPL07,,"C = CTRL01, CTRL02, etc.",,
H03,S,SPL08,,"S = SPL01, SPL02, etc.",,
A04,S,SPL09,,,,
B04,S,Sample XYZ,,"Duplicate names can be loaded and will automatically be numbered as duplicate (example: Sample XYZ, Sample XYZ(1))",,
C04,S,Sample XYZ,,,,
D04,S,SPL12,,,,
E04,S,SPL13,,,,
F04,S,SPL14,,,,
G04,S,SPL15,,,,
H04,S,SPL16,,,,
A05,,,,,,
B05,,,,,,
C05,,,,,,
D05,,,,,,
E05,,,,,,
F05,,,,,,
G05,,,,,,
H05,,,,,,
A06,,,,,,
B06,,,,,,
C06,,,,,,
D06,,,,,,
E06,,,,,,
F06,,,,,,
G06,,,,,,
H06,,,,,,
A07,,,,,,
B07,,,,,,
C07,,,,,,
D07,,,,,,
E07,,,,,,
F07,,,,,,
G07,,,,,,
H07,,,,,,
A08,,,,,,
B08,,,,,,
C08,,,,,,
D08,,,,,,
E08,,,,,,
F08,,,,,,
G08,,,,,,
H08,,,,,,
A09,,,,,,
B09,,,,,,
C09,,,,,,
D09,,,,,,
E09,,,,,,
F09,,,,,,
G09,,,,,,
H09,,,,,,
A10,,,,,,
B10,,,,,,
C10,,,,,,
D10,,,,,,
E10,,,,,,
F10,,,,,,
G10,,,,,,
H10,,,,,,
A11,,,,,,
B11,,,,,,
C11,,,,,,
D11,,,,,,
E11,,,,,,
F11,,,,,,
G11,,,,,,
H11,,,,,,
A12,,,,,,
B12,,,,,,
C12,,,,,,
D12,,,,,,
E12,,,,,,
F12,,,,,,
G12,,,,,,
H12,,,,,,
